Company Name | CEO name ,Google Reviews ,State ,Phone Number,Reach Out Response ,Last Reach Out ,Next Reach Out,Owners Name,Amount of Calls,Who called ,Email ,,Total dialed,Intro meeting rate,Calls made by Leonard,Calls made by Tommaso,Calls made by John,Calls made by Sunzim,Calls made by Daniel,Calls made by Ellison 
Mission Garage Door Repair Handyman & Painting,11,MN,17637106027,Did not reach the Owner ,03/12/26,,,1,Leonard,,,,,,,,,,
Rise & Shine Garage Doors,1963,MN,16125096798,Left a message to the owner,03/13/26,,Alex Johantgen,1,Leonard,,,,,,,,,,
Max Garage Door LLC,67,MN,19528205088,Did not reach the Owner ,03/14/26,,,1,Leonard,,,,,,,,,,
Garage Door Repair The Home Service,1,MN,18884465630,Owner is not interested ,03/15/26,,,1,Leonard,,,,,,,,,,
AA Garage Door LLC,362,MN,16513909247,Did not reach the Owner ,03/16/26,,David,1,Leonard,,,,,,,,,,
Lifetime Garage Door Repair,114,MN,19523334818,,,,,,,,,,,,,,,,
Pronto Garage Doors Repair,86,MN,16124004180,,,,,,,,,,,,,,,,
Reliable Garage Door,1359,MN,16123398828,,,,,,,,,,,,,,,,
All Access Garage Doors LLC,155,MN,19529054049,,,,,,,,,,,,,,,,
Outta Town Garage Towing and Autobody,5,MN,12184784475,,,,,,,,,,,,,,,,
Supreme Overhead Doors,33,MN,12043251936,,,,,,,,,,,,,,,,
Winkler Overhead Doors Inc,6,MN,12043258959,,,,,,,,,,,,,,,,
Diamond Bi-Fold Doors,63,MN,12043257600,,,,,,,,,,,,,,,,
Thurston Overhead Door & Mobile Welding (Winnipeg)(Surrounding),9,MN,14316882067,,,,,,,,,,,,,,,,
Excel Overhead Door,1,MN,13202352971,,,,,,,,,,,,,,,,
The Door Guy,3,MN,12184701010,,,,,,,,,,,,,,,,
Overhead Door of Fargo,53,MN,17012353678,,,,,,,,,,,,,,,,
Garage Door Solutions,21,MN,17014910543,,,,,,,,,,,,,,,,
Quality Garage Door,16,MN,17012809100,,,,,,,,,,,,,,,,
Midland Garage Door,37,MN,18004374056,,,,,,,,,,,,,,,,
Twin City Garage Door,101,MN,17012814759,,,,,,,,,,,,,,,,
North Central Door by Garaga,15,MN,12187516962,,,,,,,,,,,,,,,,
Northern Overhead Door Co,2,MN,12186943855,,,,,,,,,,,,,,,,
The Door Guy,3,MN,12184701010,,,,,,,,,,,,,,,,
Valley Door,18,MN,17017724683,,,,,,,,,,,,,,,,
PS Garage Doors,29,MN,17017723667,,,,,,,,,,,,,,,,
Frenzel Overhead Door,2,MN,12187662669,,,,,,,,,,,,,,,,
North Central Door by Garaga - Bemidji (Manufacturing Plant),15,MN,12187516962,,,,,,,,,,,,,,,,
"Door Service, Inc.",7,MN,12183260518,,,,,,,,,,,,,,,,
The Window & Door Store - Fort Frances (Storage),94,MN,18072740302,,,,,,,,,,,,,,,,
Tek Overhead Door LLC,68,MN,15077665827,,,,,,,,,,,,,,,,
Pronto Garage Doors Repair,86,MN,16124004180,,,,,,,,,,,,,,,,
Lifetime Garage Door Repair,114,MN,19523334818,,,,,,,,,,,,,,,,
MN Garage Door,92,MN,17632973053,,,,,,,,,,,,,,,,
Reliable Garage Door,1359,MN,16123398828,,,,,,,,,,,,,,,,
All Access Garage Doors LLC,155,MN,19529054049,,,,,,,,,,,,,,,,
Hopkins Garage D﻿oor's R﻿epa﻿ir,10,MN,19524676701,,,,,,,,,,,,,,,,
"Carlson Garage Door Repair Company, LLP",80,MN,17632030618,,,,,,,,,,,,,,,,
Precision Garage Door Eden Prairie,185,MN,19526980136,,,,,,,,,,,,,,,,
Superior Garage Door Repair- Eden Prairie,506,MN,16129992984,,,,,,,,,,,,,,,,
Lake State Door,5,MN,17633335250,,,,,,,,,,,,,,,,
Prime Team Garage Service,40,MN,17632998300,,,,,,,,,,,,,,,,
Superior Garage Door Repair - St. Cloud,127,MN,13204000369,,,,,,,,,,,,,,,,
CMGD LLC- garage door repair,495,MN,16126019236,,,,,,,,,,,,,,,,
Xtreme Garage Door LLC,12,MN,16052546680,,,,,,,,,,,,,,,,
American Door Works,36,MN,13207633667,,,,,,,,,,,,,,,,
Door Pro,6,MN,13203543667,,,,,,,,,,,,,,,,
American Door Works,20,MN,13202357688,,,,,,,,,,,,,,,,
Excel Overhead Door,21,MN,13202352971,,,,,,,,,,,,,,,,
Fargo Garage Floors & Doors,119,MN,17012774949,,,,,,,,,,,,,,,,
Garage Door Solutions,21,MN,17014910543,,,,,,,,,,,,,,,,
EZ Open Garage Door,393,MN,17012352802,,,,,,,,,,,,,,,,
Midland Garage Door,37,MN,18004374056,,,,,,,,,,,,,,,,
MINNESCONSIN GARAGE DOOR REPAIR LLC,51,MN,16517036505,,,,,,,,,,,,,,,,
Riverfront Garage Door Repair Stillwater,71,MN,16517647343,,,,,,,,,,,,,,,,
Dickson Family Overhead Doors,45,MN,16518007800,,,,,,,,,,,,,,,,
Sherman Garage Door RepairHandyman,25,MN,16513500937,,,,,,,,,,,,,,,,
Mr. Spring Garage Doors,303,MN,16124160091,,,,,,,,,,,,,,,,
Ray & Sons Doors & Gates,29,MN,17633144400,,,,,,,,,,,,,,,,
Reliable Door Service LLC,30,MN,13202678033,,,,,,,,,,,,,,,,
Gaslin Garage Door of Bemidji,21,MN,12185561517,,,,,,,,,,,,,,,,
North Central Door by Garaga - Bemidji (Manufacturing Plant),15,MN,12187516962,,,,,,,,,,,,,,,,
American Garage Door Supply,12,MN,18334183667,,,,,,,,,,,,,,,,
Economy Garages,1,MN,12185345408,,,,,,,,,,,,,,,,
"Garage Door Store - Brainerd & Nisswa, MN",83,MN,12188240022,,,,,,,,,,,,,,,,
Brainerd Door Service,4,MN,12188213667,,,,,,,,,,,,,,,,
American Door Works,51,MN,12188298365,,,,,,,,,,,,,,,,
Warner Garage Door Inc,27,MN,12183852853,,,,,,,,,,,,,,,,
Lakes Country Handyman llc,26,MN,12183712797,,,,,,,,,,,,,,,,
"Expert Door Company, Inc",58,MN,16514577776,,,,,,,,,,,,,,,,
JRs Doors and More LLC,5,MN,(763) 244-4380,,,,,,,,,,,,,,,,
Jons door service llc.,19,MN,13203600181,,,,,,,,,,,,,,,,
Door Pro,6,MN,13203543667,,,,,,,,,,,,,,,,
Premier Door Co. Next Generation Hydraulic + Electric,14,MN,13205622222,,,,,,,,,,,,,,,,
Schweiss Doors,43,MN,18662643918,,,,,,,,,,,,,,,,
River Valley Garage Door,17,MN,16127495011,,,,,,,,,,,,,,,,
Best Belle Plaine Garage Door Repair,31,MN,19522303900,,,,,,,,,,,,,,,,
Max & Sons Garage Door Installers,47,MN,19529002600,,,,,,,,,,,,,,,,
Ultimate Garage Door Service - Chaska,81,MN,16124445070,,,,,,,,,,,,,,,,
Prime Waconia Garage Doors,37,MN,19522606700,,,,,,,,,,,,,,,,
Excelsior Garage Door Service,38,MN,19529006700,,,,,,,,,,,,,,,,
LH Garage Doors,27,MN,17636579259,,,,,,,,,,,,,,,,
Today's Garage Door Repair,303,MN,16122384433,,,,,,,,,,,,,,,,
On Track Garage Door Repair,1802,MN,17632997055,,,,,,,,,,,,,,,,
Excelsior Garage Door Service,38,MN,19529006700,,,,,,,,,,,,,,,,
Isanti Garage Doors,23,MN,17634448602,,,,,,,,,,,,,,,,
"Eagle Garage Door Repair, Sales & Installation",204,MN,17637532032,,,,,,,,,,,,,,,,
Lake State Door,5,MN,17633335250,,,,,,,,,,,,,,,,
Central MN Door Service,31,MN,13206324880,,,,,,,,,,,,,,,,
DC Garage Doors LLC,5,MN,12184858575,,,,,,,,,,,,,,,,
Jack's Garage Door Repair,30,MN,17637102300,,,,,,,,,,,,,,,,
Garage Door Experts,4,MN,13202706010,,,,,,,,,,,,,,,,
Viking Garage Door Co,37,MN,13207622528,,,,,,,,,,,,,,,,
Central MN Door Service,31,MN,13206324880,,,,,,,,,,,,,,,,
JLR Garage Door,373,MN,17639726311,,,,,,,,,,,,,,,,
Reliable Garage Door,477,MN,16124608007,,,,,,,,,,,,,,,,
Johnsons Mobile Garage Door Repair,185,MN,16122604184,,,,,,,,,,,,,,,,
Gopher,40,MN,15077443479,,,,,,,,,,,,,,,,
Premier Door Co. Next Generation Hydraulic + Electric,14,MN,13205622222,,,,,,,,,,,,,,,,
Door Power Inc,255,MN,19524673199,,,,,,,,,,,,,,,,
Tek Overhead Door LLC,68,MN,15077665827,,,,,,,,,,,,,,,,
High Performance Garage,8,MN,15077407058,,,,,,,,,,,,,,,,
MN Mobile Garage Door Services of Mankato,204,MN,15074209997,,,,,,,,,,,,,,,,
"Allied Overhead Doors of Mankato, Inc.",8,MN,15076253639,,,,,,,,,,,,,,,,
Superior Garage Door Repair - Mankato,41,MN,16124007491,,,,,,,,,,,,,,,,
"Overhead Door Company of Mankato, Inc",35,MN,15076252539,,,,,,,,,,,,,,,,
Quality Overhead Door / Quality Self Storage,17,MN,15076257112,,,,,,,,,,,,,,,,
High Performance Garage,8,MN,15077407058,,,,,,,,,,,,,,,,
Gopher Garage Door Service,40,MN,15077443479,,,,,,,,,,,,,,,,
AAI Garage Doors,29,MN,19524659409,,,,,,,,,,,,,,,,
Midwest Garage Doors Inc,10,MN,15076625111,,,,,,,,,,,,,,,,
Excel Overhead Door,1,MN,13202352971,,,,,,,,,,,,,,,,
S Door Systems,7,MN,15076763100,,,,,,,,,,,,,,,,
Johnson Garage Door,10,MN,16056511967,,,,,,,,,,,,,,,,
Northeast Overhead Door,8,MN,16057833090,,,,,,,,,,,,,,,,
"Allied Overhead Doors of Mankato, Inc.",8,MN,15076253639,,,,,,,,,,,,,,,,
MN Mobile Garage Door Services of Mankato,204,MN,15074209997,,,,,,,,,,,,,,,,
Superior Garage Door Repair - Mankato,41,MN,16124007491,,,,,,,,,,,,,,,,
"Z Doormen, Llc",0,MN,15078297500,,,,,,,,,,,,,,,,
Hill Country Doors,15,MN,17124612904,,,,,,,,,,,,,,,,
Olsons Garage Door Service LLC,16,MN,15073015664,,,,,,,,,,,,,,,,
KAPLAN GARAGE DOORS,2,MN,15074563960,,,,,,,,,,,,,,,,
Prime Garage Door & More,57,MN,15074136699,,,,,,,,,,,,,,,,
Don's Doors,36,MN,15074530635,,,,,,,,,,,,,,,,
"Spring Valley Overhead Door Co, Inc.",6,MN,15073467237,,,,,,,,,,,,,,,,
S&S Overhead Door,15,MN,15077218635,,,,,,,,,,,,,,,,
Cannon Valley Garage Doors,51,MN,16512450311,,,,,,,,,,,,,,,,
Gopher Garage Door Service,40,MN,15077443479,,,,,,,,,,,,,,,,
Bear's Overhead Doors,477,MN,16519235923,,,,,,,,,,,,,,,,
Driftless Garage Doors,31,MN,16087903890,,,,,,,,,,,,,,,,
Sparta Door Solutions,38,MN,16086677570,,,,,,,,,,,,,,,,
"GS Overhead Door Service, LLC.",11,OH,14193020137,,,,,,,,,,,,,,,,
Dee's Overhead Door Co. Inc,11,OH,14193313337,,,,,,,,,,,,,,,,
All American Door​ Of Indiana,0,OH,14199913667,,,,,,,,,,,,,,,,
Wagner Overhead Door Co.,46,OH,14192288486,,,,,,,,,,,,,,,,
Inman's Garage Doors LLC,37,OH,14194238318,,,,,,,,,,,,,,,,
Quality Overhead Door - Findlay,47,OH,14199043817,,,,,,,,,,,,,,,,
Doorvex GarageDoor's Repair,0,OH,15594033118,,,,,,,,,,,,,,,,
Denny's Door Company,20,OH,14195861986,,,,,,,,,,,,,,,,
Midwest Dock & Door LLC,5,OH,14198526750,,,,,,,,,,,,,,,,
Kauffman Door,14,OH,15674540518,,,,,,,,,,,,,,,,
Nofziger Door Sales Inc,24,OH,14194452961,,,,,,,,,,,,,,,,
"Elite Door & Security, LLC",12,OH,14197991470,,,,,,,,,,,,,,,,
LaGrange County Door,21,OH,18772603667,,,,,,,,,,,,,,,,
Bradley Overhead Door Inc,365,OH,12604959626,,,,,,,,,,,,,,,,
Dekalb County Door,16,OH,18772603667,,,,,,,,,,,,,,,,
Precision Garage Door Service of Auburn,55,OH,12602482353,,,,,,,,,,,,,,,,
Dekalb County Door,3,OH,12609274349,,,,,,,,,,,,,,,,
Tony's Garage Door Service LLC,85,OH,19033306287,,,,,,,,,,,,,,,,
A Garage Door Professional of Fort Wayne,818,OH,12602244063,,,,,,,,,,,,,,,,
start with fulton ,,,,,,,,,,,,,,,,,,,
